ten00006_linear
DATAFLOW;LAST UPDATE;freq;unit;wat_proc;wat_src;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2015;201.57;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2016;202.75;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2017;260.95;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2018;257.24;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2019;264.87;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2020;254.24;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2021;264.37;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2010;4834.80;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2011;4689.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2012;4516.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2013;4209.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2014;3447.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2015;3665.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2016;3790.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2017;3916.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2018;3718.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2019;3620.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2020;3521.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HU;2021;3423.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2010;582.58;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2011;456.80;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2012;518.15;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2013;284.66;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2014;229.74;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2015;253.56;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2016;182.89;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2017;135.56;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2018;123.06;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2019;119.37;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2020;239.75;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LT;2021;188.71;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2010;24.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2011;23.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2012;23.70;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2013;18.02;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2014;19.28;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2015;19.51;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2016;19.85;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2017;22.77;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2018;24.31;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2019;26.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2020;24.48;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LU;2021;23.72;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2010;105.13;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2011;87.33;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2012;102.22;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2013;92.41;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2014;85.01;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2015;96.22;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2016;104.63;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2017;97.63;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2018;96.82;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2019;93.66;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2020;97.08;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;LV;2021;98.76;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2014;306.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2015;2099.65;b
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2016;1022.23;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2017;1982.94;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2018;2214.48;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2019;1590.05;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2020;1430.41;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MK;2021;1559.76;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2010;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2011;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2012;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2013;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2014;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2015;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2016;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2017;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2018;2.62;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2019;2.96;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2020;2.96;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;MT;2021;2.96;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2010;9934.03;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2011;9198.95;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2012;9798.28;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2013;9671.30;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2014;8474.50;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2015;7451.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2016;7037.90;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2017;6900.10;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2018;6902.40;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2019;7259.70;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;NL;2020;7135.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2010;8923.10;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2011;9178.20;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2012;8834.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2013;8634.50;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2014;8731.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2015;8486.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2016;8559.35;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2017;8094.04;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2018;7825.07;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2019;7211.91;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2020;6667.86;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;PL;2021;7253.95;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2010;5595.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2011;5992.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2012;5884.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2013;5837.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2014;5715.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2015;5868.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2016;5729.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2017;6116.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2018;5673.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2019;6264.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2020;6593.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RO;2021;7050.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RS;2010;3905.40;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RS;2011;4247.44;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RS;2012;3896.10;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;RS;2013;4230.85;
