"Area Code","Area","Item Code","Item","Element Code","Element","Year Code","Year","Unit","Value","Flag"
211,Switzerland,526,Apricots,5419,Yield,1995,1995,hg/ha,85305.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1996,1996,hg/ha,85227.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1997,1997,hg/ha,37466.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1998,1998,hg/ha,80614.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1999,1999,hg/ha,59241.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2000,2000,hg/ha,133430.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2001,2001,hg/ha,23679.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2002,2002,hg/ha,82706.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2003,2003,hg/ha,51168.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2004,2004,hg/ha,119274.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2005,2005,hg/ha,85731.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2006,2006,hg/ha,105504.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2007,2007,hg/ha,99149.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2008,2008,hg/ha,85121.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2009,2009,hg/ha,141256.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2010,2010,hg/ha,118868.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2011,2011,hg/ha,140269.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2012,2012,hg/ha,126340.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2013,2013,hg/ha,119587.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2014,2014,hg/ha,150014.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2015,2015,hg/ha,117969.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2016,2016,hg/ha,128336.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2017,2017,hg/ha,64130.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2018,2018,hg/ha,127104.0,Fc
211,Switzerland,526,Apricots,5419,Yield,2019,2019,hg/ha,121523.0,Fc
211,Switzerland,526,Apricots,5510,Production,1961,1961,tonnes,12000.0,
211,Switzerland,526,Apricots,5510,Production,1962,1962,tonnes,3000.0,
211,Switzerland,526,Apricots,5510,Production,1963,1963,tonnes,13000.0,
211,Switzerland,526,Apricots,5510,Production,1964,1964,tonnes,6000.0,
211,Switzerland,526,Apricots,5510,Production,1965,1965,tonnes,5000.0,
211,Switzerland,526,Apricots,5510,Production,1966,1966,tonnes,5000.0,
211,Switzerland,526,Apricots,5510,Production,1967,1967,tonnes,5500.0,
211,Switzerland,526,Apricots,5510,Production,1968,1968,tonnes,11000.0,
211,Switzerland,526,Apricots,5510,Production,1969,1969,tonnes,12000.0,
211,Switzerland,526,Apricots,5510,Production,1970,1970,tonnes,7500.0,
211,Switzerland,526,Apricots,5510,Production,1971,1971,tonnes,11000.0,
211,Switzerland,526,Apricots,5510,Production,1972,1972,tonnes,9500.0,
211,Switzerland,526,Apricots,5510,Production,1973,1973,tonnes,5500.0,
211,Switzerland,526,Apricots,5510,Production,1974,1974,tonnes,2000.0,
211,Switzerland,526,Apricots,5510,Production,1975,1975,tonnes,1000.0,
211,Switzerland,526,Apricots,5510,Production,1976,1976,tonnes,9000.0,
211,Switzerland,526,Apricots,5510,Production,1977,1977,tonnes,6000.0,
211,Switzerland,526,Apricots,5510,Production,1978,1978,tonnes,5500.0,
211,Switzerland,526,Apricots,5510,Production,1979,1979,tonnes,5000.0,
211,Switzerland,526,Apricots,5510,Production,1980,1980,tonnes,6000.0,
211,Switzerland,526,Apricots,5510,Production,1981,1981,tonnes,8000.0,
211,Switzerland,526,Apricots,5510,Production,1982,1982,tonnes,6000.0,
211,Switzerland,526,Apricots,5510,Production,1983,1983,tonnes,11000.0,
211,Switzerland,526,Apricots,5510,Production,1984,1984,tonnes,6000.0,
211,Switzerland,526,Apricots,5510,Production,1985,1985,tonnes,10000.0,
211,Switzerland,526,Apricots,5510,Production,1986,1986,tonnes,5000.0,
211,Switzerland,526,Apricots,5510,Production,1987,1987,tonnes,13000.0,
211,Switzerland,526,Apricots,5510,Production,1988,1988,tonnes,2650.0,
211,Switzerland,526,Apricots,5510,Production,1989,1989,tonnes,14175.0,
211,Switzerland,526,Apricots,5510,Production,1990,1990,tonnes,7350.0,
211,Switzerland,526,Apricots,5510,Production,1991,1991,tonnes,4200.0,
211,Switzerland,526,Apricots,5510,Production,1992,1992,tonnes,9450.0,
211,Switzerland,526,Apricots,5510,Production,1993,1993,tonnes,1785.0,
211,Switzerland,526,Apricots,5510,Production,1994,1994,tonnes,6899.0,
211,Switzerland,526,Apricots,5510,Production,1995,1995,tonnes,4342.0,
211,Switzerland,526,Apricots,5510,Production,1996,1996,tonnes,5250.0,
211,Switzerland,526,Apricots,5510,Production,1997,1997,tonnes,1922.0,
211,Switzerland,526,Apricots,5510,Production,1998,1998,tonnes,4200.0,
211,Switzerland,526,Apricots,5510,Production,1999,1999,tonnes,3045.0,
211,Switzerland,526,Apricots,5510,Production,2000,2000,tonnes,6925.0,
211,Switzerland,526,Apricots,5510,Production,2001,2001,tonnes,1255.0,
211,Switzerland,526,Apricots,5510,Production,2002,2002,tonnes,4615.0,
211,Switzerland,526,Apricots,5510,Production,2003,2003,tonnes,2410.0,
211,Switzerland,526,Apricots,5510,Production,2004,2004,tonnes,7061.0,
211,Switzerland,526,Apricots,5510,Production,2005,2005,tonnes,5161.0,
211,Switzerland,526,Apricots,5510,Production,2006,2006,tonnes,6594.0,
211,Switzerland,526,Apricots,5510,Production,2007,2007,tonnes,6405.0,
211,Switzerland,526,Apricots,5510,Production,2008,2008,tonnes,5618.0,
211,Switzerland,526,Apricots,5510,Production,2009,2009,tonnes,9450.0,
211,Switzerland,526,Apricots,5510,Production,2010,2010,tonnes,8190.0,
211,Switzerland,526,Apricots,5510,Production,2011,2011,tonnes,9398.0,
211,Switzerland,526,Apricots,5510,Production,2012,2012,tonnes,8768.0,
211,Switzerland,526,Apricots,5510,Production,2013,2013,tonnes,8395.0,
211,Switzerland,526,Apricots,5510,Production,2014,2014,tonnes,10621.0,
211,Switzerland,526,Apricots,5510,Production,2015,2015,tonnes,8364.0,
211,Switzerland,526,Apricots,5510,Production,2016,2016,tonnes,9253.0,
211,Switzerland,526,Apricots,5510,Production,2017,2017,tonnes,4720.0,
211,Switzerland,526,Apricots,5510,Production,2018,2018,tonnes,9393.0,
211,Switzerland,526,Apricots,5510,Production,2019,2019,tonnes,9017.0,
211,Switzerland,366,Artichokes,5312,Area harvested,1961,1961,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1962,1962,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1963,1963,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1964,1964,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1965,1965,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1966,1966,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1967,1967,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1968,1968,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1969,1969,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1970,1970,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1971,1971,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1972,1972,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1973,1973,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1974,1974,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1975,1975,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1976,1976,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1977,1977,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1978,1978,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1979,1979,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1980,1980,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1981,1981,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1982,1982,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1983,1983,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1984,1984,ha,,M
211,Switzerland,366,Artichokes,5312,Area harvested,1985,1985,ha,,M
